"StudentNr","BrandNr","Week","LnSales","LnAdvertising","LnPrice","LnCompAdvertising","LnCompPrice","Qrtr1","Qrtr2","Qrtr3","Qrtr4"
4766946,"82",1,15.7865661787263,12.5614051888522,-4.96413346044484,13.2917904903612,-5.84996498483428,1,0,0,0
4766946,"82",2,15.4578995705381,12.8937524069562,-4.78957390898637,13.1899266942314,-5.86043628470158,1,0,0,0
4766946,"82",3,15.2880972876492,13.6439473223431,-4.71554324346946,9.03895875522056,-5.88171368314886,1,0,0,0
4766946,"82",4,15.253448152236,12.9027909420584,-4.70953120131283,11.9650514878774,-5.90565389069487,1,0,0,0
4766946,"82",5,15.135865417031,12.7788161721112,-4.62068999764613,12.5677983130635,-5.91895785632123,1,0,0,0
4766946,"82",6,15.1543201525124,12.4862730499717,-4.59008454857005,13.1064311305136,-5.94610884538718,1,0,0,0
4766946,"82",7,15.2423468743971,12.4960408527833,-4.53825948070546,6.07073772800249,-5.91450350597185,1,0,0,0
4766946,"82",8,15.087235464341,12.5808757764564,-4.56383632249511,0,-5.84788381863046,1,0,0,0
4766946,"82",9,15.0012175534833,12.2892136255204,-4.53405955853014,12.8005066125291,-5.87101839403211,1,0,0,0
4766946,"82",10,14.982715638098,12.7036823221175,-4.53657739452248,12.228953862436,-5.91228374923354,1,0,0,0
4766946,"82",11,14.9552647899636,12.0256712440575,-4.52904282560054,5.62401750618734,-5.92792652630399,1,0,0,0
4766946,"82",12,14.8109820877129,10.2646175579351,-4.37907100684825,15.0201454430664,-5.86465570024429,1,0,0,0
4766946,"82",13,14.8252916329258,0,-4.47545857946643,13.2115036533463,-5.8688929947198,0,1,0,0
4766946,"82",14,14.7580536609825,0,-4.43669403601619,13.3868807069781,-5.87528279281857,0,1,0,0
4766946,"82",15,14.9824821841457,0,-4.45588848327234,12.6028366754773,-5.81516106263959,0,1,0,0
4766946,"82",16,14.9265453666309,9.76117485976141,-4.53910158601839,13.2713228921335,-5.75087408219005,0,1,0,0
4766946,"82",17,14.7998337002303,0,-4.51414188764053,12.6289486340981,-5.77184720557033,0,1,0,0
4766946,"82",18,14.6495060471116,0,-4.47624940592125,12.8521308390979,-5.84996498483428,0,1,0,0
4766946,"82",19,14.8769400555047,13.7366112796595,-4.55096613197458,11.8216520403302,-5.88386653650996,0,1,0,0
4766946,"82",20,14.9929340270567,14.0714875440537,-4.65509599475782,12.797986891349,-5.8583332345048,0,1,0,0
4766946,"82",21,14.9989234483248,13.6447020707071,-4.66938875831474,8.1721644521119,-5.80316091863648,0,1,0,0
4766946,"82",22,15.6159819677944,14.2018343000948,-4.9449880128604,11.9422958839582,-5.8111449929847,0,1,0,0
4766946,"82",23,15.3996306624141,14.2650506040306,-4.89445353980685,11.9924399720882,-5.81315101171157,0,1,0,0
4766946,"82",24,15.4728811241537,14.4466700944649,-4.8625170586438,2.19722457733622,-5.78542646369671,0,1,0,0
4766946,"82",25,15.3594494881657,14.8206429574904,-4.72971352106269,12.6499279938393,-5.81315101171157,0,1,0,0
4766946,"82",26,15.2437862413243,13.7968057078901,-4.68291553461294,9.41319957998769,-5.82934569763155,0,0,1,0
4766946,"82",27,15.2223425703017,13.4364424627892,-4.71957144629807,9.33723730516453,-5.86677210315066,0,0,1,0
4766946,"82",28,14.7737106929156,13.3401212519622,-4.517434071684,9.26340709291287,-5.8583332345048,0,0,1,0
4766946,"82",29,14.8410143748117,13.7792230587299,-4.52571226465338,15.1331836749638,-5.85414035624476,0,0,1,0
4766946,"82",30,14.713229904253,13.3651416987902,-4.53154804611748,13.9408498618716,-5.85414035624476,0,0,1,0
4766946,"82",31,14.7205380975597,13.4456997146324,-4.53657739452248,13.873780409484,-5.93697636182391,0,0,1,0
4766946,"82",32,14.8148548449737,13.4188451189519,-4.56383632249511,13.6708511927673,-5.86254376704114,0,0,1,0
4766946,"82",33,15.0039635506322,13.6501251711592,-4.6289507146535,13.9218478963754,-5.86043628470158,0,0,1,0
4766946,"82",34,15.0229772515445,13.3591084077926,-4.70853269898324,12.5286958541024,-5.8688929947198,0,0,1,0
4766946,"82",35,15.186437441953,13.2904457024779,-4.77134284104268,12.3658460595472,-5.89470087867567,0,0,1,0
4766946,"82",36,15.166048199372,13.007897085268,-4.74512214641554,13.6563284081611,-5.87314832028994,0,0,1,0
4766946,"82",37,15.0830213830942,12.8629214387802,-4.69959076160758,13.6114303901847,-5.86465570024429,0,0,1,0
4766946,"82",38,15.1621541134544,11.161081689265,-4.67806351150842,13.9005986699983,-5.83754246483573,0,0,1,0
4766946,"82",39,15.1590278897281,0,-4.72260328288019,13.3887824867885,-5.84788381863046,0,0,0,1
4766946,"82",40,14.7181079627064,0,-4.57950243923951,11.3306479072083,-5.84373443508365,0,0,0,1
4766946,"82",41,14.6605200878335,0,-4.53657739452248,11.4258959059971,-5.82527237224391,0,0,0,1
4766946,"82",42,14.8495843254948,12.3507485813949,-4.5777495904121,15.4236165838311,-5.86677210315066,0,0,0,1
4766946,"82",43,14.6758656575081,10.210273478787,-4.53071227507008,13.927771709374,-5.8520504913253,0,0,0,1
4766946,"82",44,14.7725592823106,0,-4.58389805071255,14.1759566820559,-5.77958418807248,0,0,0,1
4766946,"82",45,14.6436255989347,0,-4.5265438655329,13.9223261145365,-5.73403551782722,0,0,0,1
4766946,"82",46,14.7925200248731,0,-4.57687431683324,14.3615239658542,-5.86465570024429,0,0,0,1
4766946,"82",47,14.8954495813668,0,-4.53573741127275,14.2370491264387,-5.8688929947198,0,0,0,1
